[1138, 1207]
[820, 1856]
[1958, 1977]
[2529, 2367]
[197, 516]
[131, 865]
[521, 492]
[631, 773]
[1008, 1699]
[237, 1746]
[2741, 2048]
[2832, 1762]
[229, 1371]
[530, 1847]
[2354, 1718]
[1667, 2525]
[243, 2037]
[848, 2506]
[620, 1089]
[1930, 1299]
[1821, 1678]
[2266, 2037]
[2775, 2394]
[1957, 2268]
[2191, 2276]
[1281, 1658]
[878, 2232]
[2163, 1388]
[1129, 2529]
[2876, 2146]
[432, 890]
[2596, 1654]
[1926, 2510]
[896, 1225]
[1391, 2551]
[2106, 1684]
[1442, 1228]
[2505, 1994]
[1692, 1238]
[461, 1205]
[678, 2065]
